genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,46.0,,136.0,9.0,1.0,0.57,0.35,0.45,0.8,0.75,0.95,0.21,62.0,0.44,62.0,0.9,Happy/Excited
,45.0,,172.27,9.0,1.0,0.57,0.34,0.45,0.81,0.75,0.95,0.24,83.0,0.35,83.0,0.91,Happy/Excited
,43.0,,123.05,1.0,0.0,0.54,0.32,0.56,0.49,0.77,0.96,0.29,19.0,0.49,19.0,0.93,Relax/Chill
,41.0,,117.45,8.0,0.0,0.62,0.31,0.42,0.49,0.77,0.95,0.34,58.0,0.51,58.0,0.87,Relax/Chill
,37.0,,129.2,9.0,1.0,0.54,0.32,0.43,0.79,0.76,0.96,0.31,61.0,0.46,61.0,0.92,Relax/Chill
,70.0,,126.05,10.0,1.0,0.58,0.32,0.56,0.8,0.76,0.95,0.29,25.0,0.48,25.0,0.94,Happy/Excited
,65.0,,161.5,4.0,1.0,0.63,0.33,0.49,0.81,0.75,0.95,0.28,80.0,0.37,80.0,0.89,Happy/Excited
,63.0,,92.29,9.0,1.0,0.51,0.31,0.43,0.78,0.75,0.96,0.28,44.0,0.65,44.0,0.9,Relax/Chill
pop,80.0,214973.0,132.51,8.0,0.0,0.57,0.35,0.47,0.5,0.73,0.95,0.21,64.0,0.45,64.0,0.93,Happy/Excited
pop,74.0,238143.0,147.66,9.0,1.0,0.54,0.33,0.48,0.8,0.75,0.96,0.24,70.0,0.41,70.0,0.97,Relax/Chill
pop,73.0,221573.0,92.29,9.0,1.0,0.54,0.33,0.44,0.78,0.76,0.95,0.24,45.0,0.65,45.0,0.93,Happy/Excited
,70.0,,97.51,2.0,1.0,0.52,0.31,0.46,0.78,0.77,0.96,0.31,31.0,0.62,31.0,0.94,Happy/Excited
k-pop,64.0,174933.0,120.19,11.0,1.0,0.56,0.35,0.43,0.8,0.74,0.95,0.21,53.0,0.5,53.0,0.84,Relax/Chill
k-pop,67.0,240440.0,172.27,10.0,0.0,0.55,0.36,0.61,0.51,0.74,0.93,0.2,43.0,0.35,43.0,0.96,Relax/Chill
pop,76.0,198971.0,139.67,5.0,1.0,0.5,0.36,0.48,0.8,0.75,0.94,0.19,67.0,0.43,67.0,0.94,Happy/Excited
pop,73.0,242912.0,123.05,4.0,1.0,0.66,0.34,0.44,0.78,0.75,0.96,0.24,61.0,0.49,61.0,0.9,Happy/Excited
pop,71.0,290289.0,126.05,0.0,0.0,0.58,0.36,0.46,0.5,0.75,0.94,0.21,59.0,0.48,59.0,0.92,Happy/Excited
pop,70.0,242182.0,90.67,9.0,1.0,0.55,0.32,0.38,0.78,0.76,0.97,0.28,45.0,0.66,45.0,0.88,Tired/Sad
pop,68.0,241226.0,90.67,4.0,1.0,0.65,0.34,0.45,0.76,0.74,0.96,0.23,42.0,0.66,42.0,0.96,Relax/Chill
pop,67.0,222813.0,84.72,3.0,0.0,0.5,0.36,0.4,0.48,0.74,0.96,0.18,42.0,0.71,42.0,0.87,Relax/Chill
j-pop,42.0,248452.0,105.47,6.0,0.0,0.53,0.37,0.36,0.49,0.75,0.94,0.2,52.0,0.57,52.0,0.91,Relax/Chill
pop,75.0,270705.0,103.36,9.0,1.0,0.5,0.3,0.38,0.79,0.79,0.95,0.31,51.0,0.58,51.0,0.92,Happy/Excited
j-dance,46.0,246133.0,129.2,3.0,0.0,0.67,0.33,0.53,0.5,0.76,0.96,0.29,52.0,0.46,52.0,0.96,Relax/Chill
,64.0,,161.5,9.0,1.0,0.76,0.35,0.44,0.8,0.74,0.97,0.2,80.0,0.37,80.0,0.94,Relax/Chill
rock,59.0,278373.0,117.45,6.0,0.0,0.55,0.38,0.39,0.49,0.74,0.95,0.17,58.0,0.51,58.0,0.91,Relax/Chill
